CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6
110,2006,2,0,36047011000,11218,0,15743,2636,1,999,177,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2007,2,0,36047011000,11218,0,15264,2651,1,941,164,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2008,2,0,36047011000,11218,0,15736,2629,1,976,148,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2009,2,0,36047011000,11218,0,17856,2999,0,1115,187,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2010,2,0,36047011000,11218,0,19224,3501,0,1188,233,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2001,3,0,36047011000,11218,0,16366,2698,1,1290,205,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2002,3,0,36047011000,11218,0,16351,2862,0,1226,196,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2003,3,0,36047011000,11218,1,16278,2829,0,1114,200,0,0,0,0,0,0,0,0,1,1,1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2004,3,1,36047011000,11218,0,16088,2716,1,1083,216,1,0,0,0,0,0,0,0,-1,0,-1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2005,3,0,36047011000,11218,0,15897,2598,1,1041,163,0,0,0,0,-1,0,-0.333333,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2006,3,0,36047011000,11218,0,15743,2620,1,999,171,0,0,0,0,0,0,-0.333333,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2007,3,0,36047011000,11218,0,15264,2524,1,941,168,0,0,0,0,0,-1,-0.333333,-0.333333,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2008,3,0,36047011000,11218,0,15736,2639,1,976,163,0,0,0,0,0,0,0,-0.333333,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2009,3,0,36047011000,11218,0,17856,2812,0,1115,180,0,0,0,0,0,0,0,-0.333333,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2010,3,0,36047011000,11218,0,19224,3049,0,1188,190,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2001,4,0,36047011000,11218,0,16366,2528,1,1290,234,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2002,4,0,36047011000,11218,0,16351,2633,0,1226,189,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2003,4,0,36047011000,11218,0,16278,2775,0,1114,177,0,0,0,0,0,0,0,0,0,0,0,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2004,4,0,36047011000,11218,1,16088,2744,1,1083,189,0,1,0,0,0,0,0,0,1,1,1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2005,4,1,36047011000,11218,0,15897,2639,1,1041,178,1,0,0,0,0,0,0,0,-1,0,-1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
110,2006,4,0,36047011000,11218,1,15743,2543,1,999,154,0,0,0,0,-1,0,-0.333333,0,1,1,1,36047011200,NULL,36047009000,36047022200,36047009200,36047022600
