,latitude,longitude,Tract
0,40.70494301,-73.95107124,050900
1,40.62874213,-73.97586617,048000
2,40.68974578,-73.92633151,038700
3,40.64180245,-73.93498193,083800
4,40.68183117,-73.94317779999999,026900
5,40.69562998,-73.92542706,042100
6,40.659057399999995,-73.94245472,080800
7,40.62684132,-73.96074717,053200
8,40.65304953,-73.92857762,086800
9,40.63040765,-73.96331379,052800
10,40.677958600000004,-74.00139163,006500
11,40.65537015,-73.94046487,081400
12,40.69858153,-73.95319285,025500
13,40.6815645,-73.95454963,022700
14,40.70949192,-73.93598718,048500
15,40.68109039,-74.00088333,006300
16,40.65682931,-73.90939606,091600
17,40.64065599,-73.94169589,083200
18,40.61738981,-73.965583,045400
19,40.68919978,-73.93110268,029300
20,40.65596045,-73.93568895,087200
21,40.65614454,-73.90438371,092200
22,40.68832782,-73.96278072,023100
23,40.6781286,-73.94343693,031300
24,40.59288901,-73.94884172,059401
25,40.671676299999994,-73.95086854,031702
26,40.59230664,-73.95422152,059000
27,40.71185217,-73.94064167,049500
28,40.68074516,-73.93959134,027300
29,40.68525038,-73.97030383,017900
30,40.65159284,-73.92550511,093800
31,40.61153633,-73.96068054,054200
32,40.65675518,-73.90937814,091600
33,40.63214197,-73.97168571,048200
34,40.67526098,-73.9508695,031500
35,40.61783787,-73.96788085,045200
36,40.67386631,-73.95012428,031701
37,40.66828039,-73.90251347,091000
38,40.68413958,-73.94916472,024900
39,40.61089469,-73.97227099,043800
40,40.57922724,-73.96047996,036200
41,40.68019384,-73.97991442,012901
42,40.70341939,-73.95043399,050900
43,40.58751366,-73.946574,060000
44,40.69204447,-73.91252872,041500
45,40.69543837,-73.9220735,041900
46,40.70157986,-73.94331244,049100
47,40.68507847,-73.99573092,006700
48,40.65405599,-73.93644041,087200
49,40.67675608,-73.99149895,007700
50,40.58696305,-73.96338446,037000
51,40.70700314,-73.93244766,045300
52,40.6606237,-73.93072851,087800
53,40.66148032,-73.90764522,091800
54,40.65317168,-73.94066505,081400
55,40.67376199,-73.95686217,021700
56,40.69448519,-73.95047308,025300
57,40.5812289,-73.95493472,061004
58,40.70567875,-73.94528907,049100
59,40.68953298,-73.91618478,039900
60,40.65342477,-73.93659238,087200
61,40.68577337,-73.95064181,025100
62,40.68604848,-73.95214158,024300
63,40.64307751,-73.94292974,083200
64,40.67907085,-73.96649936,020300
65,40.67210127,-73.95651357,021900
66,40.65572302,-73.92440487,086400
67,40.68823206,-73.93310129999999,029300
68,40.67610314,-73.99991348,006500
69,40.62301989,-73.95880418,076800
70,40.69772757,-73.9221682,042100
71,40.57954228,-73.94004287,062000
72,40.68699171,-73.94393061,026500
73,40.68509887,-73.96824147,019900
74,40.58823325,-73.93666148,059800
75,40.69866054,-73.94008361,028502
76,40.68627798,-73.96436477,020100
77,40.68719649,-73.9846611,004100
78,40.67417672,-73.90648123,090800
79,40.69609224,-73.93646885,028700
80,40.64259796,-73.93910699,083400
81,40.57573086,-73.95441646,061002
82,40.68349711,-73.98985756,007100
83,40.69651946,-73.92569653,042100
84,40.68570878,-73.97039016,017900
85,40.57799397,-73.96643847,036200
86,40.57916805,-73.96414112,036400
87,40.6644401,-73.91231981,089800
88,40.61565878,-73.96886522,044400
89,40.66470451,-73.9211542,090000
90,40.69527789,-73.92854681,039300
91,40.67736094,-73.95836322,030500
92,40.62437972,-73.96217516,053400
93,40.69747799,-73.94094658,028502
94,40.67611961,-73.99997116,006500
95,40.67793004,-73.97017009,016300
96,40.69621699,-73.9248494,042100
97,40.58681895,-73.95931256,060600
98,40.6962251,-73.92897494,039300
99,40.62432025,-73.9650787,053400
100,40.6545614,-73.92776511,086800
101,40.66365174,-73.92295769,089200
102,40.68790326,-73.92947779999999,038500
103,40.68396325,-73.98546949,007100
104,40.61651087,-73.97369862,044800
105,40.68659493,-73.94085886,027700
106,40.68473726,-73.98535394,004100
107,40.68581973,-73.97531909,003500
108,40.58107428,-73.9526776,061200
109,40.68367917,-73.96595621,019900
110,40.69290335,-73.92804451,028900
111,40.68771344,-73.92446956,038500
112,40.58551935,-73.96359047,037000
113,40.69220076,-73.93757601,028100
114,40.66479734,-73.99611429999999,014300
115,40.67869813,-73.95252541,031500
116,40.65590977,-74.00277513,008400
117,40.58296634,-73.95489034,061004
118,40.57922711,-73.94658783,062000
119,40.65403766,-74.00691241,008400
120,40.63025697,-73.96423616,052800
121,40.578081700000006,-73.96610003,036200
122,40.69493717,-73.92795576,039300
123,40.63295057,-73.96746646,048200
124,40.67588586,-73.96306165,020500
125,40.67160503,-73.95803156,021700
126,40.61684413,-73.95888003,076800
127,40.68696643,-73.9725855,018100
128,40.66195058,-73.90877635,091600
129,40.62574731,-73.96432864,053000
130,40.58524495,-73.93320446,062200
131,40.64295377,-73.93238278,084000
132,40.68077479,-73.9750866,012902
133,40.67599543,-73.94824441,031500
134,40.67376663,-73.95464147,022100
135,40.64529133,-73.9307156,085000
