"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",New York City,6.170771591,6.459883101,5.766933292,7.307331654,8.642751485,8.789601776,8.573915411,9.522323539,9.565154874,10.57322093,10.19997644,9.268394911,9.295929341,13.32972326,20.24545414,20.38312629,26.60743705,21.81797601,15.57377927,7.512310185
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",Brooklyn,8.056399732,7.918261831,6.872360579,9.220704898,11.18916999,11.25330544,11.4555788,10.96222915,10.30607412,12.7136204,12.24000474,10.59221692,11.20397048,15.43691045,23.06902948,21.56924656,28.4909421,25.17069898,19.18636776,7.755456447
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",1,,,,,17.54385965,17.54385965,,,,,17.54385965,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",2,73.17073171,24.3902439,,24.3902439,,,,,24.3902439,,,24.3902439,,,24.3902439,24.3902439,24.3902439,48.7804878,24.3902439,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",3.01,,13.69863014,,13.69863014,,,,,,,,,27.39726027,,,27.39726027,,,13.69863014,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",5,15.15151515,,,,,,,,,,15.15151515,,,,,,15.15151515,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",7,,,,,,,,,,14.92537313,29.85074627,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",20,21.27659574,21.27659574,63.82978723,,,42.55319149,21.27659574,21.27659574,21.27659574,106.3829787,21.27659574,127.6595745,42.55319149,21.27659574,63.82978723,127.6595745,85.10638298,21.27659574,,63.82978723
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",21,60.60606061,,30.3030303,,,,,,,30.3030303,60.60606061,,30.3030303,,30.3030303,30.3030303,,30.3030303,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",22,46.15384615,15.38461538,15.38461538,,30.76923077,92.30769231,15.38461538,30.76923077,61.53846154,15.38461538,15.38461538,30.76923077,15.38461538,61.53846154,61.53846154,76.92307692,107.6923077,46.15384615,76.92307692,30.76923077
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",25,,,,,,,,,,,95.23809524,,,,,,47.61904762,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",27,1000,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",29.02,,,,,,,34.48275862,,34.48275862,34.48275862,,34.48275862,,,,,103.4482759,34.48275862,34.48275862,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",30,44.64285714,,8.928571429,,8.928571429,62.5,8.928571429,8.928571429,,,,,,,17.85714286,17.85714286,26.78571429,26.78571429,26.78571429,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",33,,24.3902439,,24.3902439,12.19512195,,12.19512195,12.19512195,,,12.19512195,12.19512195,,,24.3902439,36.58536585,12.19512195,,36.58536585,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",34,6.329113924,,12.65822785,,,12.65822785,6.329113924,6.329113924,6.329113924,6.329113924,,6.329113924,12.65822785,6.329113924,12.65822785,18.98734177,18.98734177,18.98734177,12.65822785,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",35,69.76744186,,23.25581395,,23.25581395,23.25581395,23.25581395,,,,23.25581395,23.25581395,,,,23.25581395,116.2790698,23.25581395,69.76744186,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",36,10.41666667,,,,10.41666667,,,10.41666667,,41.66666667,10.41666667,20.83333333,10.41666667,,10.41666667,,20.83333333,20.83333333,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",38,21.05263158,10.52631579,,21.05263158,,,,,,10.52631579,10.52631579,10.52631579,10.52631579,21.05263158,,42.10526316,52.63157895,31.57894737,21.05263158,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",39,37.73584906,37.73584906,,37.73584906,37.73584906,56.60377358,,37.73584906,,18.86792453,,,18.86792453,56.60377358,,18.86792453,,18.86792453,18.86792453,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",40,7.575757576,,15.15151515,7.575757576,,7.575757576,,,7.575757576,30.3030303,22.72727273,,7.575757576,7.575757576,30.3030303,,15.15151515,30.3030303,7.575757576,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",41,42.25352113,14.08450704,14.08450704,14.08450704,14.08450704,14.08450704,28.16901408,14.08450704,14.08450704,,14.08450704,,,14.08450704,14.08450704,14.08450704,28.16901408,42.25352113,14.08450704,14.08450704
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",42,13.69863014,13.69863014,,13.69863014,41.09589041,,,,,,,,,,,,41.09589041,27.39726027,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",43,,16.12903226,16.12903226,16.12903226,16.12903226,,,16.12903226,,,,16.12903226,,,16.12903226,,32.25806452,,16.12903226,
