"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",New York City,11.11167487,11.12858762,8.371809833,7.441608741,7.576910718,7.018790062,6.680535119,7.813689178,6.951139074,5.902548751,6.206978199,4.684830957,4.177448543,4.532616233,5.885636004,7.729125442,11.82201025,10.6550307,8.38872258,3.856106347
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn,13.75328577,12.72061585,10.4205783,10.27975967,11.40630867,10.56139692,11.82876455,14.26962073,12.25122043,11.07773188,11.96958318,9.247089748,7.228689448,8.167480285,9.951182876,11.50018776,18.40030041,16.10026286,11.82876455,5.585805483
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 2,,,,,,,,,,,,,,,,,,400,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 3.01,13.15789474,26.31578947,,13.15789474,,,,,,,,,,,,13.15789474,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 5,24.09638554,12.04819277,24.09638554,,,12.04819277,,,,,12.04819277,,,,,,12.04819277,,12.04819277,12.04819277
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 7,18.86792453,,,,,18.86792453,,,,,,,,,,,18.86792453,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 9,26.31578947,,26.31578947,,,26.31578947,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 20,,,,71.42857143,71.42857143,,,,71.42857143,71.42857143,,71.42857143,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 22,37.73584906,18.86792453,18.86792453,18.86792453,37.73584906,18.86792453,,,37.73584906,,18.86792453,,,,,,18.86792453,,,18.86792453
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 25,,,90.90909091,,,,,,,,,,,,,,181.8181818,,90.90909091,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 27,,,,,,,,,,,,,,,,500,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 29.02,,,,,,,,,500,,,,,,,,,500,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 33,60.60606061,,60.60606061,90.90909091,30.3030303,,,30.3030303,,,60.60606061,30.3030303,,,30.3030303,60.60606061,60.60606061,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 34,25.64102564,25.64102564,,,,,25.64102564,,,,,,,25.64102564,,,25.64102564,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 35,,,47.61904762,,,,,,,,,,,,,,,,47.61904762,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 36,76.92307692,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 37,,,142.8571429,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 38,,,,,,,,,,,,,,,,250,250,,250,
