"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",New York City,5.246895034,5.389215875,4.902162328,6.246303611,7.274176358,7.50505239,7.112879404,8.381116238,8.498135597,9.254017401,8.912447381,8.40009235,8.286235677,11.24650919,16.14234614,16.23090133,21.48728442,17.27775019,12.17633869,6.353834914
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn,6.835326284,7.181210265,6.588266298,7.576506242,9.5200448,9.075336825,9.157690154,8.548275521,8.037684883,10.21181276,9.931811444,8.614158184,9.569456797,11.15064071,16.45419508,15.13654182,22.16951609,18.66126429,14.47771519,6.505912969
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 1,,,,,33.33333333,33.33333333,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 2,,,,,,,,,,,,,,,,,1000,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 3.01,,,,47.61904762,,,,,,,,,95.23809524,,,95.23809524,,,47.61904762,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 5,31.25,,,,,,,,,,31.25,,,,,,31.25,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 7,,,,,,,,,,23.25581395,46.51162791,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 22,,,,,,,,,,200,,,,200,,,200,200,,200
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 30,10.86956522,,10.86956522,,10.86956522,32.60869565,,,,,,,,,10.86956522,,10.86956522,10.86956522,10.86956522,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 34,,,,,,,,,,8.130081301,,,16.2601626,,16.2601626,8.130081301,16.2601626,8.130081301,,
