,FacilityID,ProgramType,FacilityStatus,FacilityOpenedDate,LicenseIssueDate,LicenseExpirationDate,SchoolDistrictName,SchoolAgeCapacity,TotalCapacity,Latitude,Longitude,Tract
0,71573,GFDC,License ,7/19/2000 0:00,7/19/2014 0:00,7/18/2018 0:00,Brooklyn 20,2,14,40.621203,-74.017037,16600
1,71886,GFDC,License ,12/24/1999 0:00,12/24/2015 0:00,12/23/2019 0:00,Brooklyn 20,4,16,40.637324,-73.975494,49000
2,72014,GFDC,License ,9/2/2000 0:00,9/2/2014 0:00,9/1/2018 0:00,Brooklyn 20,4,16,40.637214,-73.977355,48600
3,72040,GFDC,License ,11/26/2000 0:00,11/26/2014 0:00,11/25/2018 0:00,Brooklyn 20,4,16,40.626416,-73.975291,46201
4,72596,GFDC,License ,6/3/2000 0:00,6/3/2016 0:00,6/2/2020 0:00,Brooklyn 20,4,16,40.617752,-74.035042,5400
5,72610,GFDC,License ,11/13/2000 0:00,11/13/2014 0:00,11/12/2018 0:00,Brooklyn 20,4,16,40.626094,-74.006388,21000
6,72711,GFDC,License ,9/6/2001 0:00,9/6/2015 0:00,9/5/2019 0:00,Brooklyn 20,4,16,40.640225,-73.975105,48800
7,72751,GFDC,License ,6/12/2001 0:00,6/12/2015 0:00,6/11/2019 0:00,Brooklyn 20,4,16,40.621203,-74.017037,16600
8,73060,SACC,Registration ,4/16/2000 0:00,4/16/2015 0:00,4/15/2019 0:00,Brooklyn 20,380,380,40.641578,-74.019342,7400
9,73121,SACC,Registration ,12/16/2000 0:00,12/16/2015 0:00,12/15/2019 0:00,Brooklyn 20,130,130,40.606261,-73.989607,27000
10,73248,SACC,Registration ,1/16/2001 0:00,1/16/2016 0:00,1/15/2020 0:00,Brooklyn 20,16,16,40.601909,-74.0027,28200
11,73374,SACC,Registration ,7/2/2000 0:00,7/2/2016 0:00,7/1/2020 0:00,Brooklyn 20,245,245,40.603011,-74.001506,28200
12,74124,SACC,Registration ,6/13/2000 0:00,6/13/2015 0:00,6/12/2019 0:00,Brooklyn 20,320,320,40.63699,-73.999129,22000
13,110660,FDC,Registration ,1/9/2002 0:00,1/9/2016 0:00,1/8/2020 0:00,Brooklyn 20,2,8,40.642499,-74.017041,7400
