Zip Code,Total Births 2011-2013,Premature Birth,Low Birth Weight,Out of Wedlock,Medicaid or Self-pay,Late or No Prenatal Care,Infant Deaths 2011-2013,Infant Deaths Rate,Neonatal Deaths 2011-2013,Neonatal Deaths Rate,Teen Birth Rate,Teen Pregnancy Rate
10001,533,9.8,10.3,28.1,27.4,4.2,2,3.8,2,3.8,11,35.7
10002,3317,10.1,6.8,41.4,73.9,5,6,1.8,2,0.6,19.5,51
10003,1277,9.6,9.6,10.7,7.5,2.3,0,0,0,0,0.5,10.3
10004,194,9.9,8.8,5.2,4.1,3.6,1,5.2,1,5.2,0,68.2
10005,360,8.1,5.8,5.3,3.6,0.6,0,0,0,0,0,23.3
10006,143,9.9,14,7,2.1,2.1,0,0,0,0,*,*
10007,1073,8.7,7,4.6,2,2.1,1,0.9,1,0.9,0,6
10009,1345,10.8,8.9,39.9,42.8,5,5,3.7,2,1.5,19.9,64
10010,985,8.6,7.9,8.2,5.1,1.4,3,3,2,2,2.3,16
10011,1359,10.8,9,14.7,10.2,2,11,8.1,8,5.9,8.6,32.9
10012,581,8.2,7.6,14.7,12.9,2.1,2,3.4,2,3.4,4,85.3
10013,1260,9.4,7.5,13.2,21.7,1.5,2,1.6,0,0,2.3,6.9
10014,813,8.8,7,10.7,3.6,1.4,0,0,0,0,0.9,6.4
10016,1634,8.5,9.7,12.7,9.3,3.1,6,3.7,4,2.4,5,25.1
10017,482,10,8.5,8.7,6.4,3.5,3,6.2,1,2.1,2.7,61.8
10018,216,5.6,6.5,21.3,19.9,3.3,0,0,0,0,10.8,32.3
10019,1366,9.1,8.7,17.4,16.8,5.2,5,3.7,4,2.9,13.2,41.9
10021,1930,8.5,8.2,4.7,3.2,1.5,3,1.6,3,1.6,0.5,44.9
10022,995,9.2,8.4,6,3.3,2.3,1,1,1,1,1.9,19.6
10023,3026,9.1,8.4,8.3,5.3,1.8,8,2.6,6,2,5.7,20.4
10024,2197,9.6,8,10.2,6.5,1.9,2,0.9,1,0.5,6.3,19.9
10025,3109,9.3,8.9,22.3,21.8,5,10,3.2,7,2.3,7.9,34.3
10026,1427,13.2,11.1,53.5,52,9.2,12,8.4,9,6.3,23.8,78.8
10027,2080,11.4,9.6,53.1,58.4,10.5,8,3.8,5,2.4,17.9,58.7
10028,1512,7.7,7.7,8.2,4.8,2.1,2,1.3,1,0.7,7.6,21.6
10029,2941,12.2,10,66.8,71.2,9,16,5.4,12,4.1,34.5,102.3
10030,1088,15.5,11.3,69.6,72.4,11.1,11,10.1,6,5.5,31.5,103.9
10031,2124,10.9,8.7,64.4,74.6,9.5,11,5.2,9,4.2,29.7,82.1
10032,2264,11.7,8.5,61,73.2,7.4,7,3.1,4,1.8,35.8,89.6
10033,2114,10.4,8.1,52.9,63.5,7.6,7,3.3,3,1.4,28.8,80.6
10034,1591,10.2,6.9,56.6,67.6,6.6,4,2.5,1,0.6,28,81.9
10035,1473,12.7,10.7,69.7,72.4,11,11,7.5,9,6.1,42,106.6
10036,629,9.6,6.5,21.7,27.7,7.6,4,6.4,3,4.8,11.2,48.6
10037,653,12.7,10,64.6,61.7,11.6,5,7.7,4,6.1,31.2,100.5
10038,726,10.4,7.3,26.6,33.1,4.6,0,0,0,0,11.9,44.2
10039,1158,15.7,11.6,65.8,71.6,10.5,9,7.8,6,5.2,35.7,107.5
10040,1675,11.2,8.2,52.8,63.2,6.1,9,5.4,5,3,31.9,84.6
10044,422,8.6,4.7,11.1,15.2,4.7,1,2.4,1,2.4,3.3,8.7
10065,1381,7.2,8.1,5.2,2.7,1.5,2,1.4,1,0.7,1.6,13.8
10075,824,8.7,8.3,5.7,4.7,1,0,0,0,0,0,1.6
10128,2113,8.5,7.5,9.9,7.2,2.8,1,0.5,1,0.5,3.1,9.5
10280,424,9.2,6.6,5.2,6.1,2.8,0,0,0,0,0,4.2
Total,56814,10.2,8.6,31.8,35.3,5.1,191,3.4,127,2.2,17.1,53.9
