Zip Code,Total Births 2011-2013,Premature Birth,Low Birth Weight,Out of Wedlock,Medicaid or Self-pay,Late or No Prenatal Care,Infant Deaths 2011-2013,Infant Deaths Rate,Neonatal Deaths 2011-2013,Neonatal Deaths Rate,Teen Birth Rate,Teen Pregnancy Rate
10301,1556,10.5,8.7,50.6,52.7,4,12,7.7,7,4.5,22.1,53.8
10302,887,15.2,10,57.7,64.9,3,7,7.9,4,4.5,32.2,68.6
10303,1068,13.6,10.6,59.5,65.4,4.1,10,9.4,4,3.7,29,73.2
10304,1746,11.9,9.2,54.4,60.3,3.9,13,7.4,8,4.6,23.5,58.1
10305,1497,9,6.7,33.4,45.3,3.2,3,2,3,2,10,25.9
10306,1616,9.9,6.6,26.8,33.4,3,11,6.8,9,5.6,6.5,22.4
10307,382,9.9,6,23.9,23,0.8,1,2.6,1,2.6,3.2,12.9
10308,761,10.1,7.1,17.7,18,1.6,1,1.3,0,0,3.4,11.2
10309,971,8.8,7,18.6,20.7,0.8,4,4.1,4,4.1,3.4,10.6
10310,1079,12,8.4,52.6,55.7,3.8,1,0.9,1,0.9,29.5,73.2
10312,1720,10.9,7.5,15.6,18.6,1.4,5,2.9,3,1.7,3.5,12.3
10314,2819,11.7,8.1,21.8,33.6,2.1,10,3.5,7,2.5,6.6,19.3
Total,16102,11.1,8.1,35.3,41.4,2.8,78,4.8,51,3.2,13.1,34.1
