"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",New York City,7.035640332,7.462222314,6.576472226,8.300574404,9.926918212,9.992090459,9.941730086,10.59049018,10.56382881,11.80802626,11.40514328,10.08096171,10.24389232,15.28289199,24.08707012,24.27073736,31.40117369,26.06889891,18.75479534,8.596811892
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 2,57.69230769,19.23076923,19.23076923,19.23076923,38.46153846,67.30769231,28.84615385,38.46153846,38.46153846,28.84615385,57.69230769,57.69230769,38.46153846,86.53846154,105.7692308,96.15384615,153.8461538,134.6153846,173.0769231,67.30769231
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 4,15.03759398,,30.07518797,22.55639098,30.07518797,37.59398496,15.03759398,22.55639098,45.11278195,45.11278195,97.7443609,30.07518797,30.07518797,60.15037594,82.70676692,75.18796992,90.22556391,90.22556391,82.70676692,52.63157895
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 11,,,,22.22222222,,22.22222222,,22.22222222,44.44444444,66.66666667,22.22222222,,22.22222222,22.22222222,44.44444444,88.88888889,111.1111111,111.1111111,44.44444444,22.22222222
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 16,18.01801802,9.009009009,,27.02702703,18.01801802,9.009009009,18.01801802,54.05405405,63.06306306,36.03603604,72.07207207,9.009009009,36.03603604,45.04504505,63.06306306,54.05405405,54.05405405,54.05405405,63.06306306,27.02702703
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 17,,,,,,,,37.03703704,,37.03703704,185.1851852,74.07407407,,37.03703704,,37.03703704,,37.03703704,,37.03703704
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 20,58.82352941,23.52941176,58.82352941,11.76470588,70.58823529,82.35294118,58.82352941,35.29411765,94.11764706,82.35294118,47.05882353,47.05882353,58.82352941,94.11764706,82.35294118,35.29411765,82.35294118,152.9411765,117.6470588,47.05882353
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 25,,,,,,,,90.90909091,,,,30.3030303,,,,30.3030303,,30.3030303,30.3030303,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 27.02,,,,,,,,,,,,24.3902439,,,,,48.7804878,,,
,"Notices of Foreclosure Rate, 2-4 Family Buildings (per 1,000 buildings)","Rate of 2-4 family buildings receiving a notice of foreclosure action (lis pendens) per 1,000 2-4 family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Bronx 28,47.61904762,,,,23.80952381,,,,,,23.80952381,47.61904762,,23.80952381,23.80952381,,,23.80952381,,
