Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Brooklyn,2000,47,3,100,5498
Brooklyn,2000,47,3,200,1303
Brooklyn,2000,47,3,301,5036
Brooklyn,2000,47,3,501,3415
Brooklyn,2000,47,3,502,2739
Brooklyn,2000,47,3,700,3682
Brooklyn,2000,47,3,900,2178
Brooklyn,2000,47,3,1100,117
Brooklyn,2000,47,3,1300,2533
Brooklyn,2000,47,3,1500,2726
Brooklyn,2000,47,3,1800,1442
Brooklyn,2000,47,3,2000,1574
Brooklyn,2000,47,3,2100,1134
Brooklyn,2000,47,3,2200,4240
Brooklyn,2000,47,3,2300,4314
Brooklyn,2000,47,3,2901,4300
Brooklyn,2000,47,3,3000,1873
Brooklyn,2000,47,3,3100,2870
Brooklyn,2000,47,3,3300,2348
Brooklyn,2000,47,3,3400,2894
Brooklyn,2000,47,3,3500,1477
Brooklyn,2000,47,3,3600,3940
Brooklyn,2000,47,3,3700,357
Brooklyn,2000,47,3,3800,1607
Brooklyn,2000,47,3,3900,2119
Brooklyn,2000,47,3,4100,3251
Brooklyn,2000,47,3,4300,2942
Brooklyn,2000,47,3,4400,2590
Brooklyn,2000,47,3,4500,3444
Brooklyn,2000,47,3,4600,1217
Brooklyn,2000,47,3,4700,1166
Brooklyn,2000,47,3,4900,2593
Brooklyn,2000,47,3,5000,2401
Brooklyn,2000,47,3,5100,2093
Brooklyn,2000,47,3,5201,1781
Brooklyn,2000,47,3,5202,2453
Brooklyn,2000,47,3,5300,1838
Brooklyn,2000,47,3,5400,3205
Brooklyn,2000,47,3,5601,2515
Brooklyn,2000,47,3,5602,1523
Brooklyn,2000,47,3,5800,3308
Brooklyn,2000,47,3,5900,1099
Brooklyn,2000,47,3,6000,2907
Brooklyn,2000,47,3,6200,3062
Brooklyn,2000,47,3,6300,1821
Brooklyn,2000,47,3,6400,3484
Brooklyn,2000,47,3,6500,5136
Brooklyn,2000,47,3,6600,3631
Brooklyn,2000,47,3,6700,3500
Brooklyn,2000,47,3,6800,4781
Brooklyn,2000,47,3,6900,3340
Brooklyn,2000,47,3,7000,2549
Brooklyn,2000,47,3,7100,4609
Brooklyn,2000,47,3,7200,1858
Brooklyn,2000,47,3,7400,5330
Brooklyn,2000,47,3,7500,4454
Brooklyn,2000,47,3,7600,4440
Brooklyn,2000,47,3,7700,3905
Brooklyn,2000,47,3,7800,5018
Brooklyn,2000,47,3,8000,4360
Brooklyn,2000,47,3,8200,4072
Brooklyn,2000,47,3,8400,3229
Brooklyn,2000,47,3,8500,7278
Brooklyn,2000,47,3,8600,0
Brooklyn,2000,47,3,8800,3410
Brooklyn,2000,47,3,9000,2533
Brooklyn,2000,47,3,9200,5160
Brooklyn,2000,47,3,9400,4855
Brooklyn,2000,47,3,9600,5900
Brooklyn,2000,47,3,9800,6121
Brooklyn,2000,47,3,10000,6271
Brooklyn,2000,47,3,10100,4095
Brooklyn,2000,47,3,10200,4616
Brooklyn,2000,47,3,10400,5530
Brooklyn,2000,47,3,10600,5460
Brooklyn,2000,47,3,10800,4773
Brooklyn,2000,47,3,11000,2017
Brooklyn,2000,47,3,11200,6242
Brooklyn,2000,47,3,11400,4116
Brooklyn,2000,47,3,11600,4259
Brooklyn,2000,47,3,11700,2788
Brooklyn,2000,47,3,11800,2009
Brooklyn,2000,47,3,11900,1555
Brooklyn,2000,47,3,12000,1253
Brooklyn,2000,47,3,12100,1796
Brooklyn,2000,47,3,12200,5045
Brooklyn,2000,47,3,12600,2522
Brooklyn,2000,47,3,12700,3405
Brooklyn,2000,47,3,12801,2006
Brooklyn,2000,47,3,12901,2239
Brooklyn,2000,47,3,12902,2125
Brooklyn,2000,47,3,13000,4733
Brooklyn,2000,47,3,13100,3994
Brooklyn,2000,47,3,13200,2165
Brooklyn,2000,47,3,13300,3667
Brooklyn,2000,47,3,13400,3890
Brooklyn,2000,47,3,13500,2830
Brooklyn,2000,47,3,13600,3924
Brooklyn,2000,47,3,13700,2972
Brooklyn,2000,47,3,13800,3206
Brooklyn,2000,47,3,13900,3832
Brooklyn,2000,47,3,14000,2012
Brooklyn,2000,47,3,14100,2737
Brooklyn,2000,47,3,14200,3238
Brooklyn,2000,47,3,14300,3682
Brooklyn,2000,47,3,14500,4326
Brooklyn,2000,47,3,14700,1980
Brooklyn,2000,47,3,14800,1222
Brooklyn,2000,47,3,14900,4774
Brooklyn,2000,47,3,15000,1564
Brooklyn,2000,47,3,15100,3390
Brooklyn,2000,47,3,15200,2240
Brooklyn,2000,47,3,15300,2955
Brooklyn,2000,47,3,15400,0
Brooklyn,2000,47,3,15500,3312
Brooklyn,2000,47,3,15700,4143
Brooklyn,2000,47,3,15900,5091
Brooklyn,2000,47,3,16000,4246
Brooklyn,2000,47,3,16100,2568
Brooklyn,2000,47,3,16200,1886
Brooklyn,2000,47,3,16300,3175
Brooklyn,2000,47,3,16400,1173
Brooklyn,2000,47,3,16500,4847
Brooklyn,2000,47,3,16600,2042
Brooklyn,2000,47,3,16700,4534
Brooklyn,2000,47,3,16800,1425
Brooklyn,2000,47,3,16900,4800
Brooklyn,2000,47,3,17000,2882
Brooklyn,2000,47,3,17100,3449
Brooklyn,2000,47,3,17200,2892
Brooklyn,2000,47,3,17400,1751
Brooklyn,2000,47,3,17500,28
Brooklyn,2000,47,3,17600,2239
Brooklyn,2000,47,3,17700,11
Brooklyn,2000,47,3,17800,2579
Brooklyn,2000,47,3,17900,3379
Brooklyn,2000,47,3,18000,2803
Brooklyn,2000,47,3,18100,3895
Brooklyn,2000,47,3,18200,3039
Brooklyn,2000,47,3,18300,2502
Brooklyn,2000,47,3,18400,1977
