CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip
18,2001,2,1,0,1,1,1,0,0,0,0,0,0,36047001800,11220
18,2002,3,1,0,0,1,1,1,1,0,0,0,0,36047001800,11220
18,2003,0,1,1,0,1,1,1,1,0,0,0,0,36047001800,11220
18,2003,3,1,0,1,1,1,0,0,0,0,0,0,36047001800,11220
18,2003,4,1,1,0,1,1,1,1,0,0,0,0,36047001800,11220
18,2004,1,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220
18,2004,5,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220
18,2005,2,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220
18,2005,4,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220
18,2006,3,1,0,1,1,1,0,0,0,0,0,0,36047001800,11220
18,2007,4,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220
18,2008,5,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220
20,2001,0,4,4,4,4,4,0,0,0,0,0,0,36047002000,11220
20,2001,1,6,4,6,6,6,0,0,0,0,0,0,36047002000,11220
20,2001,2,1,6,1,1,1,0,0,0,0,0,0,36047002000,11220
20,2001,3,5,1,5,5,5,0,0,0,0,0,0,36047002000,11220
20,2001,4,8,5,8,8,8,0,0,0,0,0,0,36047002000,11220
20,2001,5,7,8,7,7,7,0,0,0,0,0,0,36047002000,11220
20,2002,0,7,7,4,7,7,0.75,3,0,0,0,0,36047002000,11220
20,2002,1,3,7,6,3,3,-0.5,-3,0,0,0,0,36047002000,11220
20,2002,2,5,3,1,5,5,4,4,0,0,0,0,36047002000,11220
20,2002,3,2,5,5,2,2,-0.6,-3,0,0,0,0,36047002000,11220
20,2002,4,3,2,8,3,3,-0.625,-5,0,0,0,0,36047002000,11220
20,2002,5,6,3,7,6,6,-0.142857,-1,0,0,0,0,36047002000,11220
20,2003,0,5,5,7,5,5,-0.285714,-2,0,0,0,0,36047002000,11220
20,2003,1,7,5,3,7,7,1.333333,4,0,0,0,0,36047002000,11220
20,2003,2,4,7,5,4,4,-0.2,-1,0,0,0,0,36047002000,11220
20,2003,3,8,4,2,8,8,3,6,0,0,0,0,36047002000,11220
20,2003,4,3,8,3,3,3,0,0,0,0,0,0,36047002000,11220
20,2003,5,2,3,6,2,2,-0.666667,-4,0,0,0,0,36047002000,11220
20,2004,0,3,3,5,4,4,-0.4,-2,-0.25,-1,-0.25,-1,36047002000,11220
20,2004,1,8,3,7,6,6,0.142857,1,0.333333,2,0.333333,2,36047002000,11220
20,2004,2,5,8,4,1,1,0.25,1,4,4,4,4,36047002000,11220
20,2004,3,5,5,8,5,5,-0.375,-3,0,0,0,0,36047002000,11220
20,2004,4,7,5,3,8,8,1.333333,4,-0.125,-1,-0.125,-1,36047002000,11220
20,2004,5,2,7,2,7,7,0,0,-0.714286,-5,-0.714286,-5,36047002000,11220
20,2005,0,7,7,3,7,7,1.333333,4,0,0,0,0,36047002000,11220
20,2005,1,6,7,8,3,3,-0.25,-2,1,3,1,3,36047002000,11220
20,2005,2,10,6,5,5,5,1,5,1,5,1,5,36047002000,11220
20,2005,3,5,10,5,2,2,0,0,1.5,3,1.5,3,36047002000,11220
20,2005,4,5,5,7,3,3,-0.285714,-2,0.666667,2,0.666667,2,36047002000,11220
20,2005,5,8,5,2,6,6,3,6,0.333333,2,0.333333,2,36047002000,11220
20,2006,0,4,4,7,5,5,-0.428571,-3,-0.2,-1,-0.2,-1,36047002000,11220
20,2006,1,7,4,6,7,7,0.166667,1,0,0,0,0,36047002000,11220
20,2006,2,6,7,10,4,4,-0.4,-4,0.5,2,0.5,2,36047002000,11220
20,2006,3,9,6,5,8,8,0.8,4,0.125,1,0.125,1,36047002000,11220
20,2006,4,4,9,5,3,3,-0.2,-1,0.333333,1,0.333333,1,36047002000,11220
20,2006,5,6,4,8,2,2,-0.25,-2,2,4,2,4,36047002000,11220
20,2007,0,8,8,4,3,3,1,4,1.666667,5,1.666667,5,36047002000,11220
20,2007,1,5,8,7,8,8,-0.285714,-2,-0.375,-3,-0.375,-3,36047002000,11220
20,2007,2,8,5,6,5,5,0.333333,2,0.6,3,0.6,3,36047002000,11220
20,2007,3,6,8,9,5,5,-0.333333,-3,0.2,1,0.2,1,36047002000,11220
20,2007,4,11,6,4,7,7,1.75,7,0.571429,4,0.571429,4,36047002000,11220
20,2007,5,6,11,6,2,2,0,0,2,4,2,4,36047002000,11220
20,2008,0,6,6,8,7,7,-0.25,-2,-0.142857,-1,-0.142857,-1,36047002000,11220
20,2008,1,10,6,5,6,6,1,5,0.666667,4,0.666667,4,36047002000,11220
20,2008,2,6,10,8,10,10,-0.25,-2,-0.4,-4,-0.4,-4,36047002000,11220
20,2008,3,9,6,6,5,5,0.5,3,0.8,4,0.8,4,36047002000,11220
20,2008,4,7,9,11,5,5,-0.363636,-4,0.4,2,0.4,2,36047002000,11220
20,2008,5,11,7,6,8,8,0.833333,5,0.375,3,0.375,3,36047002000,11220
20,2009,0,6,6,6,4,4,0,0,0.5,2,0.5,2,36047002000,11220
20,2009,1,6,6,10,7,7,-0.4,-4,-0.142857,-1,-0.142857,-1,36047002000,11220
20,2009,2,8,6,6,6,6,0.333333,2,0.333333,2,0.333333,2,36047002000,11220
20,2009,3,5,8,9,9,9,-0.444444,-4,-0.444444,-4,-0.444444,-4,36047002000,11220
20,2009,4,9,5,7,4,4,0.285714,2,1.25,5,1.25,5,36047002000,11220
20,2009,5,7,9,11,6,6,-0.363636,-4,0.166667,1,0.166667,1,36047002000,11220
