Zip Code,Total Births 2011-2013,Premature Birth,Low Birth Weight,Out of Wedlock,Medicaid or Self-pay,Late or No Prenatal Care,Infant Deaths 2011-2013,Infant Deaths Rate,Neonatal Deaths 2011-2013,Neonatal Deaths Rate,Teen Birth Rate,Teen Pregnancy Rate
11201,2825,10.3,8.1,14.1,12.2,2.6,9,3.2,7,2.5,11.1,50.1
11203,2773,16.4,13.2,61,71.4,11,20,7.2,15,5.4,16.4,70.4
11204,4451,8.4,5.8,18.2,70.8,3.6,13,2.9,7,1.6,12.6,20.1
11205,2932,8,5.7,24.1,61.7,3,12,4.1,9,3.1,23.7,54.8
11206,4485,8.9,6.3,39.3,78,5.3,16,3.6,11,2.5,27.7,71.4
11207,4288,14.8,11.5,73.9,76.1,10.2,33,7.7,20,4.7,35.8,93.9
11208,4555,13.8,10.5,65.5,67,9.3,25,5.5,15,3.3,35.9,94.4
11209,2950,9.7,6.9,19.4,42.8,5.5,11,3.7,7,2.4,14.2,30.3
11210,2825,12.5,9.4,41.5,55.3,9.1,8,2.8,5,1.8,16.6,45
11211,6521,7.1,5.1,12.9,64.3,2.8,14,2.1,10,1.5,16.1,34.1
11212,4114,17.2,13,79.2,81.9,10.8,30,7.3,21,5.1,38.1,105.4
11213,3385,11.9,9.2,47.4,73.6,8,27,8,16,4.7,24.6,74.1
11214,3533,9.8,6.1,29.3,68.7,5.8,9,2.5,5,1.4,14.6,29.1
11215,3171,7.6,5.7,13.6,11.6,1.7,6,1.9,6,1.9,6.9,21.4
11216,1926,14.5,11.3,61,66.8,9.4,12,6.2,6,3.1,24.8,77.3
11217,1759,9.9,7.7,23.1,20.3,2.3,1,0.6,0,0,17.5,54.9
11218,4251,9.6,7.9,21.5,67,4.3,11,2.6,9,2.1,18.4,33.8
11219,8839,6.9,5.2,12.9,84,2.4,11,1.2,9,1,20.2,26.6
11220,8951,8.3,5.6,39.1,91.3,3.8,15,1.7,14,1.6,29.2,55.9
11221,3407,13.4,10.2,71.6,79,8.9,16,4.7,6,1.8,32.8,92.3
11222,1149,8.8,6.3,21.7,30.7,4.1,2,1.7,1,0.9,9.2,24.6
11223,3649,9.7,7.4,27.1,62.1,4.3,13,3.6,8,2.2,23.1,41.6
11224,1481,15.1,10.9,57.6,73.8,7.7,11,7.4,8,5.4,30.2,77.4
11225,2438,12.5,9.1,46.4,66.5,8.5,4,1.6,3,1.2,17.3,64.3
11226,4537,14.5,11,60.5,75,11.8,24,5.3,19,4.2,25.9,74.9
11228,1515,10.5,7.8,24.2,53.3,5.1,8,5.3,6,4,10.9,22.4
11229,2925,9.5,6.7,24.7,54.8,5.5,8,2.7,3,1,11.3,25.6
11230,4867,8.9,6.9,17.6,58.5,4.7,13,2.7,7,1.4,15.5,25.9
11231,1764,8.7,6.5,24.7,23.2,2.2,5,2.8,2,1.1,14.9,51.9
11232,1457,10.6,7.4,51.1,81.5,4.2,2,1.4,2,1.4,33.4,70
11233,2910,14.7,12.4,73.1,74.3,9.9,22,7.6,10,3.4,32.5,89.4
11234,3035,11.7,8.7,35.7,46.2,6.1,17,5.6,9,3,12.3,40.8
11235,2917,10.9,6.6,28.1,62.5,8.3,11,3.8,7,2.4,16.9,32.6
11236,3553,15.2,11.8,60.1,62.8,11,24,6.8,19,5.3,18.4,64
11237,2405,12.1,6.6,68.6,84.7,6.9,17,7.1,8,3.3,37.5,71.5
11238,2171,10.3,8.7,30,28.5,3.4,3,1.4,2,0.9,17.2,55
11239,435,14.8,12,63.4,56.3,7.8,5,11.5,4,9.2,24.5,83.1
Total,125149,10.8,8,38.2,65.3,6,488,3.9,316,2.5,22.7,57.9
