Zip Code,Total Births 2011-2013,Premature Birth,Low Birth Weight,Out of Wedlock,Medicaid or Self-pay,Late or No Prenatal Care,Infant Deaths 2011-2013,Infant Deaths Rate,Neonatal Deaths 2011-2013,Neonatal Deaths Rate,Teen Birth Rate,Teen Pregnancy Rate
11004,449,14.1,12.5,12.7,27.6,3.1,4,8.9,3,6.7,6.6,17.1
11101,1198,10.4,8.9,35.6,43.7,7.1,7,5.8,4,3.3,28.1,65.5
11102,1349,9.8,7.5,34.6,52.7,12.9,2,1.5,1,0.7,26.2,60
11103,1225,9.1,6.8,26.9,51,10.8,3,2.4,3,2.4,12.2,27.5
11104,1031,9.9,6.7,22.6,49.1,8,4,3.9,1,1,7.2,16.9
11105,1198,9.5,6.6,19.8,36.6,6.2,5,4.2,3,2.5,2.9,16.8
11106,1423,10.6,8.6,31.5,52.8,11.7,6,4.2,6,4.2,16.7,43.3
11109,355,10.2,7.9,7,2.5,1.7,0,0,0,0,*,*
11354,1987,7.7,5.7,27,67.3,6.9,5,2.5,4,2,9.4,25.7
11355,4166,7.1,5.7,27.8,82.1,8.9,10,2.4,7,1.7,9.5,20.6
11356,1053,9.4,5.1,35.6,61.3,4.4,2,1.9,1,0.9,12.9,36.2
11357,1204,9.3,6.6,15,24.3,3.1,3,2.5,3,2.5,2.8,10.4
11358,1250,10,6.9,26.1,47,3.9,5,4,2,1.6,8.2,22.5
11360,530,7.4,7.9,11.3,13,1.9,4,7.5,3,5.7,3.3,14.8
11361,853,8.8,7.2,17.7,30.8,3.5,3,3.5,3,3.5,6.2,17.8
11362,459,7.9,5.4,14.4,20.5,2.4,1,2.2,1,2.2,2.3,10
11363,164,8,5.5,10.4,19.5,5.5,0,0,0,0,3.7,15
11364,967,8,6.6,13.7,28.2,3.2,0,0,0,0,2.6,9.4
11365,1580,8.7,6.7,21.1,45.6,4.8,4,2.5,3,1.9,5.1,25.7
11366,503,6.8,4.6,22.9,43.5,4.4,0,0,0,0,3.4,12.8
11367,2452,7.9,7.1,20.6,42.2,3.6,8,3.3,4,1.6,11,29
11368,6636,10.7,6.7,66,89.1,8.9,27,4.1,19,2.9,43.9,83.9
11369,1599,10.8,6.9,58.5,77.5,8.8,10,6.3,7,4.4,32.2,69.8
11370,1097,8.9,6.7,36.4,67.5,9.5,4,3.6,3,2.7,13.7,39.7
11372,2902,10,6.7,47.1,71.6,8.2,8,2.8,6,2.1,26,51.6
11373,4595,10.4,7.1,42.6,80.4,7.5,19,4.1,10,2.2,20.6,41.3
11374,1847,8.6,7.5,27.1,42.4,4.2,7,3.8,5,2.7,6.4,17.3
11375,2817,8.1,7.3,15.7,21.4,3.1,6,2.1,5,1.8,4.4,14.5
11377,3511,10.4,7.6,39.4,70.7,9.1,20,5.7,18,5.1,19,40.2
11378,1363,9.2,5.8,34.3,56.6,5.6,4,2.9,3,2.2,13.7,32.5
11379,1104,8.2,5,24.2,32.4,2.7,7,6.3,4,3.6,5.3,18.5
11385,4236,10.1,6.8,42.9,63.9,8,13,3.1,11,2.6,25.6,55.9
11411,569,17.3,13.2,53.4,44.8,7,2,3.5,1,1.8,11.8,58.3
11412,1192,14.4,12.6,61.5,52.2,9.1,15,12.6,11,9.2,21.5,85.5
11413,1344,13.1,10.6,59.3,47.2,10.2,9,6.7,5,3.7,21.9,78.7
11414,782,13,8.1,27.4,22.1,2.3,6,7.7,6,7.7,10.4,31.3
11415,844,10.2,7,21.2,31.5,5,2,2.4,1,1.2,9.2,27.7
11416,1080,11.3,10.2,40,53.1,7.9,4,3.7,4,3.7,16.7,50.2
11417,1073,10.2,8.2,38.3,48.6,7.9,3,2.8,1,0.9,22.4,59.9
11418,1566,12.5,9.8,43.7,42.8,6.4,9,5.7,5,3.2,27.2,67.8
11419,1761,13.1,10.7,41.3,53.2,10.9,4,2.3,2,1.1,22.5,71.9
11420,1646,12.1,11.8,44.3,48.2,8.9,11,6.7,8,4.9,18.3,61.4
11421,1653,10.2,7,49.8,50,7.1,0,0,0,0,25.9,69.5
11422,1119,14.7,11.6,55.9,44.2,9.6,6,5.4,5,4.5,17.9,67.6
11423,1101,12.5,9.5,47.7,50.9,9.2,6,5.4,5,4.5,15.3,56
11426,563,12.1,11.4,15.6,39.3,4.3,5,8.9,4,7.1,4.3,15.9
11427,804,12.7,11.9,25.6,45,5.8,7,8.7,6,7.5,8.2,28.8
11428,647,14,13.3,36.5,52.9,6.8,5,7.7,4,6.2,13.1,38.8
11429,877,13.1,9,56.9,57,9.7,4,4.6,4,4.6,16.2,64.3
11432,2609,12.3,10.7,34.6,60.8,10.3,15,5.7,11,4.2,16.8,50.3
11433,1495,16.2,14,67.4,56.5,13.3,17,11.4,12,8,37.4,102.8
11434,2322,13.9,11.1,66.8,49.7,11,17,7.3,12,5.2,29.2,92.3
11435,2605,11.4,9.8,45.6,49.1,8.2,14,5.4,8,3.1,26.8,66.8
11436,727,14.5,10.6,60.9,49.2,12.3,8,11,4,5.5,21.9,75.1
11691,3199,11,7.8,51.3,61.3,8.8,23,7.2,17,5.3,30.9,78
11692,826,13.9,11.7,65.4,65.1,14.9,4,4.8,3,3.6,33.9,93.6
11693,451,11.4,7.3,55.4,51.2,10.5,1,2.2,0,0,25.2,65.5
11694,539,10.4,5.2,30.3,32.2,4.3,0,0,0,0,7.6,19.9
11697,88,10.3,8,11.5,4.6,2.3,1,11.4,1,11.4,2.9,11.6
Total,90598,10.6,8,39.8,56.2,7.7,399,4.4,283,3.1,18.9,49.8
