Zip Code,Total Births 2011-2013,Premature Birth,Low Birth Weight,Out of Wedlock,Medicaid or Self-pay,Late or No Prenatal Care,Infant Deaths 2011-2013,Infant Deaths Rate,Neonatal Deaths 2011-2013,Neonatal Deaths Rate,Teen Birth Rate,Teen Pregnancy Rate
10451,2294,11.9,9,72.4,80.4,11.4,9,3.9,5,2.2,34.5,79
10452,4150,12.2,9.3,71.8,82.6,11.7,25,6,14,3.4,41.6,101
10453,4121,11.8,8.1,73.8,83.8,12.2,22,5.3,17,4.1,38.7,89.7
10454,1976,12.7,8.8,79.8,86.4,10,15,7.6,8,4,39.6,89.2
10455,2113,12,10.2,78.3,84.3,11.4,13,6.2,5,2.4,38.1,100.4
10456,4760,12.3,10.5,73.4,83.2,12.8,32,6.7,21,4.4,40.6,102.5
10457,4123,13.3,9.8,75.8,85.2,11.4,28,6.8,16,3.9,43.8,103.6
10458,4189,12.2,9.9,72,83.8,10.5,24,5.7,14,3.3,34.7,76.6
10459,2469,12.3,9.2,77.9,83.2,13.7,17,6.9,9,3.6,39,93
10460,2863,13.6,10.9,76.1,83.7,12,26,9.1,22,7.7,40,95.1
10461,1877,10.6,8.7,42,49.4,7.9,11,5.9,8,4.3,19.7,59.7
10462,3565,10.6,8.7,51.6,64.8,10.1,13,3.6,11,3.1,20.6,56.8
10463,2683,9.5,7.5,43.4,47.4,5.9,10,3.7,7,2.6,15.4,44.6
10464,87,10.6,6.9,36,32.6,6,0,0,0,0,6.4,25.5
10465,1245,11.7,8.8,49.6,45.1,8.5,4,3.2,3,2.4,14,43.6
10466,2790,12.7,11.4,68.6,71.8,12.4,25,9,21,7.5,27.5,76.4
10467,4571,11.7,9.9,64.4,77.3,10.4,25,5.5,16,3.5,29.1,73.2
10468,3774,11,8.4,71.2,82.8,11,12,3.2,7,1.9,36.6,81.3
10469,2385,10.3,8.2,59.2,63,12.7,7,2.9,5,2.1,21.5,58
10470,626,11.4,9.1,48.1,54.6,10.7,3,4.8,1,1.6,27.3,63
10471,700,8.6,6.7,21.7,24,2.9,2,2.9,1,1.4,3.3,12.5
10472,3275,12,8.7,70.2,85.6,12.4,13,4,9,2.7,34.7,82.8
10473,2168,13.1,10.6,73.2,71.6,13.4,11,5.1,4,1.8,27.4,73.4
10474,599,14.3,8.2,76.6,86.1,12.1,5,8.3,2,3.3,12.1,23.9
10475,939,14.9,13.5,59.3,46.8,11.8,2,2.1,2,2.1,12.4,41
Total,64342,11.9,9.4,67.5,75.7,11.2,354,5.5,228,3.5,31.2,76.9
