USPS	GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                  
NY	36001000100	2139	910	2367412	245155	       0.914	       0.095	 42.6637001	 -73.7369472                                                                                                               
NY	36001000200	6046	3103	2065211	0	       0.797	       0.000	 42.6644129	 -73.7515039                                                                                                                   
NY	36001000300	5888	3041	5781771	55326	       2.232	       0.021	 42.6806139	 -73.7830038                                                                                                               
NY	36001000401	2227	1074	9017994	134151	       3.482	       0.052	 42.7055639	 -73.8648837                                                                                                              
NY	36001000403	4415	2306	3136261	0	       1.211	       0.000	 42.6768719	 -73.8052761                                                                                                                   
NY	36001000404	5203	13	1830761	84514	       0.707	       0.033	 42.6905365	 -73.8283764                                                                                                                 
NY	36001000501	3412	1652	547290	0	       0.211	       0.000	 42.6703394	 -73.7824279                                                                                                                    
NY	36001000502	3448	943	777449	0	       0.300	       0.000	 42.6670082	 -73.7867332                                                                                                                     
NY	36001000600	3676	1708	506887	0	       0.196	       0.000	 42.6645893	 -73.7736470                                                                                                                    
NY	36001000700	3821	1896	1583409	14749	       0.611	       0.006	 42.6690764	 -73.7637150                                                                                                               
NY	36001000800	2393	1302	344413	0	       0.133	       0.000	 42.6603638	 -73.7652144                                                                                                                    
NY	36001001100	1169	812	1744037	254585	       0.673	       0.098	 42.6525522	 -73.7500591                                                                                                               
NY	36001001400	3560	2693	751968	25632	       0.290	       0.010	 42.6559725	 -73.7688498                                                                                                                
NY	36001001500	4606	2454	582401	0	       0.225	       0.000	 42.6575003	 -73.7816778                                                                                                                    
NY	36001001600	4273	1882	915225	0	       0.353	       0.000	 42.6586329	 -73.7895279                                                                                                                    
NY	36001001700	4021	1962	1367248	0	       0.528	       0.000	 42.6609261	 -73.7988658                                                                                                                   
NY	36001001801	6579	3394	8049529	20810	       3.108	       0.008	 42.6460368	 -73.8221190                                                                                                               
NY	36001001802	3816	2071	1905939	0	       0.736	       0.000	 42.6690192	 -73.8204195                                                                                                                   
NY	36001001901	2607	1191	870996	0	       0.336	       0.000	 42.6506380	 -73.7922657                                                                                                                    
NY	36001001902	2581	1170	1172740	0	       0.453	       0.000	 42.6449334	 -73.7963715                                                                                                                   
NY	36001002000	5771	2601	2890161	7882	       1.116	       0.003	 42.6350207	 -73.7852831                                                                                                                
NY	36001002100	3773	1469	1460593	0	       0.564	       0.000	 42.6503316	 -73.7775366                                                                                                                   
NY	36001002200	2344	1528	248393	0	       0.096	       0.000	 42.6504203	 -73.7654808                                                                                                                    
NY	36001002300	2051	1237	640377	7375	       0.247	       0.003	 42.6450868	 -73.7637113                                                                                                                 
NY	36001002500	2872	1665	666423	115687	       0.257	       0.045	 42.6407095	 -73.7559725                                                                                                               
NY	36001002600	5165	2285	4170335	452838	       1.610	       0.175	 42.6292541	 -73.7656313                                                                                                              
NY	36001012700	2342	1265	1515131	660352	       0.585	       0.255	 42.7702924	 -73.6881176                                                                                                              
NY	36001012800	3836	2094	1629631	152222	       0.629	       0.059	 42.7645455	 -73.7005201                                                                                                              
NY	36001012900	3445	1949	1499516	338271	       0.579	       0.131	 42.7831023	 -73.7090108                                                                                                              
NY	36001013000	6545	3086	5129073	47672	       1.980	       0.018	 42.7740027	 -73.7177921                                                                                                               
NY	36001013100	2620	1408	1935063	482922	       0.747	       0.186	 42.7478701	 -73.6925954                                                                                                              
NY	36001013200	3397	1781	853274	130220	       0.329	       0.050	 42.7283770	 -73.7010838                                                                                                               
NY	36001013300	4427	2315	1395173	0	       0.539	       0.000	 42.7310632	 -73.7106672                                                                                                                   
NY	36001013400	2430	1210	1236361	205706	       0.477	       0.079	 42.7151114	 -73.7063321                                                                                                              
NY	36001013503	4277	1885	11558421	1212130	       4.463	       0.468	 42.7642175	 -73.7420167                                                                                                            
NY	36001013505	2712	1067	2966721	12130	       1.145	       0.005	 42.7366823	 -73.7467164                                                                                                               
NY	36001013506	6361	2864	8148497	28448	       3.146	       0.011	 42.7460925	 -73.7290222                                                                                                               
NY	36001013507	2594	1092	5575063	2491	       2.153	       0.001	 42.7494304	 -73.7792658                                                                                                                
NY	36001013508	6547	2619	18011337	2460841	       6.954	       0.950	 42.7808640	 -73.7775285                                                                                                            
NY	36001013601	9372	3311	13711169	227139	       5.294	       0.088	 42.7187600	 -73.7356457                                                                                                             
NY	36001013602	4409	2355	8047400	662404	       3.107	       0.256	 42.6911799	 -73.7261881                                                                                                              
NY	36001013703	2500	628	16133182	120546	       6.229	       0.047	 42.7453667	 -73.8148090                                                                                                              
NY	36001013705	6628	2956	8548336	24702	       3.301	       0.010	 42.7020353	 -73.7863325                                                                                                               
NY	36001013706	2124	839	2742331	79375	       1.059	       0.031	 42.6987926	 -73.7648755                                                                                                                
NY	36001013707	6061	2653	8138001	41199	       3.142	       0.016	 42.7183889	 -73.7714882                                                                                                               
NY	36001013801	7278	3196	20943021	21909	       8.086	       0.008	 42.7469391	 -73.8808746                                                                                                              
NY	36001013802	4390	1618	5455747	1645	       2.106	       0.001	 42.7648758	 -73.8439681                                                                                                                
NY	36001013901	2460	1016	3874084	8227	       1.496	       0.003	 42.7161760	 -73.8444382                                                                                                                
NY	36001013902	5333	2316	4521610	0	       1.746	       0.000	 42.7231026	 -73.8271334                                                                                                                   
NY	36001014001	4003	2144	4137015	17277	       1.597	       0.007	 42.7056536	 -73.8100987                                                                                                               
NY	36001014002	4542	2061	2378652	0	       0.918	       0.000	 42.6930948	 -73.7942738                                                                                                                   
NY	36001014100	5304	2396	16409533	0	       6.336	       0.000	 42.6357148	 -73.8590708                                                                                                                  
NY	36001014201	5768	2264	12561452	24310	       4.850	       0.009	 42.6124506	 -73.7958876                                                                                                              
NY	36001014202	5938	2641	7780565	23783	       3.004	       0.009	 42.6215878	 -73.8637582                                                                                                               
NY	36001014203	6002	2552	11051211	4325	       4.267	       0.002	 42.6068772	 -73.8460798                                                                                                               
NY	36001014301	2852	1164	32183494	2015956	      12.426	       0.778	 42.5647707	 -73.7820599                                                                                                            
NY	36001014302	7792	3012	47000834	91674	      18.147	       0.035	 42.5643092	 -73.8386878                                                                                                              
NY	36001014401	4151	1802	126347963	7854631	      48.783	       3.033	 42.4912815	 -73.8751024                                                                                                           
NY	36001014402	3267	1513	3484959	14194	       1.346	       0.005	 42.4755465	 -73.8112139                                                                                                               
NY	36001014501	2380	1029	55227492	196058	      21.323	       0.076	 42.6323672	 -73.9529940                                                                                                             
NY	36001014502	3479	1453	88153816	1009151	      34.036	       0.390	 42.5836894	 -73.9436334                                                                                                            
NY	36001014503	2789	1158	5539336	12387	       2.139	       0.005	 42.6536623	 -73.9342681                                                                                                               
NY	36001014606	3675	1508	17688454	69532	       6.830	       0.027	 42.7469088	 -73.9773720                                                                                                              
NY	36001014607	8262	3232	22253855	40236	       8.592	       0.016	 42.7294529	 -73.9109795                                                                                                              
NY	36001014608	4358	1188	4013600	10833	       1.550	       0.004	 42.6894672	 -73.8507315                                                                                                               
NY	36001014609	4645	2538	6477244	9640	       2.501	       0.004	 42.6741883	 -73.8589353                                                                                                                
NY	36001014611	1818	834	15806870	162710	       6.103	       0.063	 42.6909153	 -73.9303795                                                                                                              
NY	36001014612	1720	713	3072860	243	       1.186	       0.000	 42.7053446	 -74.0336330                                                                                                                  
NY	36001014613	2863	1257	67912133	1751438	      26.221	       0.676	 42.6979246	 -74.0134699                                                                                                            
NY	36001014614	5588	2423	6884223	30446	       2.658	       0.012	 42.6837090	 -73.8767432                                                                                                               
NY	36001014615	2374	1336	5857320	216695	       2.262	       0.084	 42.6889487	 -73.9123118                                                                                                              
NY	36001014700	2692	1131	108164307	451495	      41.762	       0.174	 42.6853531	 -74.1056328                                                                                                            
NY	36001014801	2794	1634	165835666	1823372	      64.030	       0.704	 42.6039171	 -74.1303583                                                                                                           
NY	36001014802	1843	1271	159192087	1088431	      61.464	       0.420	 42.4794765	 -74.1786077                                                                                                           
NY	36001014803	3361	1600	149678078	1931219	      57.791	       0.746	 42.5003339	 -74.0502911                                                                                                           
NY	36003940200	1	6	1528843	26577	       0.590	       0.010	 42.2312992	 -78.3028177                                                                                                                     
NY	36003950100	2555	1732	328912886	1467772	     126.994	       0.567	 42.4022117	 -77.8349167                                                                                                           
NY	36003950300	4927	1901	232036827	2013701	      89.590	       0.777	 42.4693329	 -78.1949069                                                                                                           
NY	36003950400	3649	3166	287202861	3180152	     110.890	       1.228	 42.2965494	 -78.2138436                                                                                                           
NY	36003950500	3799	2350	131390288	1929125	      50.730	       0.745	 42.1809786	 -78.2297809                                                                                                           
NY	36003950600	3960	2006	155813034	235822	      60.160	       0.091	 42.2035897	 -78.0442590                                                                                                            
NY	36003950700	3821	2044	92723537	88581	      35.801	       0.034	 42.1804364	 -77.9297261                                                                                                              
NY	36003950800	6384	1881	201673055	602204	      77.866	       0.233	 42.2649384	 -77.8588871                                                                                                            
NY	36003950900	3938	1951	205684906	313729	      79.415	       0.121	 42.1465916	 -77.8149561                                                                                                            
NY	36003951000	3249	1760	202442275	820569	      78.163	       0.317	 42.0359471	 -77.8933730                                                                                                            
NY	36003951100	3938	1977	154142440	92806	      59.515	       0.036	 42.0835692	 -78.0403295                                                                                                             
NY	36003951200	5086	2719	256432782	259626	      99.009	       0.100	 42.0694397	 -78.2051375                                                                                                            
NY	36003951300	3639	2647	415910814	2123113	     160.584	       0.820	 42.3835917	 -78.0308109                                                                                                           
NY	36005000100	11091	0	1579361	1125765	       0.610	       0.435	 40.7934921	 -73.8835318                                                                                                               
NY	36005000200	4334	1449	455322	926899	       0.176	       0.358	 40.8045733	 -73.8568585                                                                                                               
NY	36005000400	5503	1903	912393	602945	       0.352	       0.233	 40.8089152	 -73.8504884                                                                                                               
