,Unnamed: 0,USPS,GEOID,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6
0,0,NY,36001000100,2139,910,2367412,245155,0.914,0.095,42.6637001,-73.7369472,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
1,1,NY,36001000200,6046,3103,2065211,0,0.797,0.0,42.664412899999995,-73.75150390000002,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
2,2,NY,36001000300,5888,3041,5781771,55326,2.2319999999999998,0.021,42.6806139,-73.78300379999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
3,3,NY,36001000401,2227,1074,9017994,134151,3.4819999999999998,0.052000000000000005,42.705563899999994,-73.86488370000001,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
4,4,NY,36001000403,4415,2306,3136261,0,1.2109999999999999,0.0,42.676871899999995,-73.8052761,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
5,5,NY,36001000404,5203,13,1830761,84514,0.7070000000000001,0.033,42.6905365,-73.82837640000001,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
6,6,NY,36001000501,3412,1652,547290,0,0.21100000000000002,0.0,42.670339399999996,-73.78242790000002,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
7,7,NY,36001000502,3448,943,777449,0,0.3,0.0,42.667008200000005,-73.7867332,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
8,8,NY,36001000600,3676,1708,506887,0,0.196,0.0,42.664589299999996,-73.773647,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
9,9,NY,36001000700,3821,1896,1583409,14749,0.611,0.006,42.669076399999994,-73.763715,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
10,10,NY,36001000800,2393,1302,344413,0,0.133,0.0,42.6603638,-73.7652144,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
11,11,NY,36001001100,1169,812,1744037,254585,0.6729999999999999,0.098,42.6525522,-73.75005909999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
12,12,NY,36001001400,3560,2693,751968,25632,0.29,0.01,42.6559725,-73.7688498,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
13,13,NY,36001001500,4606,2454,582401,0,0.225,0.0,42.657500299999995,-73.7816778,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
14,14,NY,36001001600,4273,1882,915225,0,0.353,0.0,42.65863289999999,-73.78952790000001,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
15,15,NY,36001001700,4021,1962,1367248,0,0.528,0.0,42.6609261,-73.79886579999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
16,16,NY,36001001801,6579,3394,8049529,20810,3.108,0.008,42.6460368,-73.822119,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
17,17,NY,36001001802,3816,2071,1905939,0,0.736,0.0,42.6690192,-73.8204195,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
18,18,NY,36001001901,2607,1191,870996,0,0.336,0.0,42.650638,-73.7922657,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
19,19,NY,36001001902,2581,1170,1172740,0,0.45299999999999996,0.0,42.6449334,-73.79637149999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
20,20,NY,36001002000,5771,2601,2890161,7882,1.1159999999999999,0.003,42.635020700000005,-73.78528309999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
21,21,NY,36001002100,3773,1469,1460593,0,0.564,0.0,42.6503316,-73.77753659999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
22,22,NY,36001002200,2344,1528,248393,0,0.096,0.0,42.6504203,-73.76548079999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
23,23,NY,36001002300,2051,1237,640377,7375,0.247,0.003,42.645086799999994,-73.7637113,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
24,24,NY,36001002500,2872,1665,666423,115687,0.257,0.045,42.6407095,-73.7559725,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
25,25,NY,36001002600,5165,2285,4170335,452838,1.61,0.175,42.629254100000004,-73.7656313,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
26,26,NY,36001012700,2342,1265,1515131,660352,0.585,0.255,42.7702924,-73.6881176,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
27,27,NY,36001012800,3836,2094,1629631,152222,0.629,0.059000000000000004,42.764545500000004,-73.70052009999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
28,28,NY,36001012900,3445,1949,1499516,338271,0.579,0.131,42.783102299999996,-73.7090108,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
29,29,NY,36001013000,6545,3086,5129073,47672,1.98,0.018000000000000002,42.7740027,-73.7177921,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
30,30,NY,36001013100,2620,1408,1935063,482922,0.747,0.18600000000000003,42.7478701,-73.6925954,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
31,31,NY,36001013200,3397,1781,853274,130220,0.32899999999999996,0.05,42.728377,-73.70108379999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
32,32,NY,36001013300,4427,2315,1395173,0,0.539,0.0,42.7310632,-73.7106672,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
33,33,NY,36001013400,2430,1210,1236361,205706,0.47700000000000004,0.079,42.7151114,-73.7063321,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
34,34,NY,36001013503,4277,1885,11558421,1212130,4.463,0.46799999999999997,42.7642175,-73.74201670000001,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
35,35,NY,36001013505,2712,1067,2966721,12130,1.145,0.005,42.7366823,-73.74671640000001,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
36,36,NY,36001013506,6361,2864,8148497,28448,3.1460000000000004,0.011000000000000001,42.746092499999996,-73.7290222,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
37,37,NY,36001013507,2594,1092,5575063,2491,2.153,0.001,42.7494304,-73.77926579999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
38,38,NY,36001013508,6547,2619,18011337,2460841,6.954,0.95,42.780864,-73.7775285,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
39,39,NY,36001013601,9372,3311,13711169,227139,5.294,0.08800000000000001,42.718759999999996,-73.7356457,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
40,40,NY,36001013602,4409,2355,8047400,662404,3.1069999999999998,0.256,42.6911799,-73.72618809999999,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
41,41,NY,36001013703,2500,628,16133182,120546,6.229,0.047,42.7453667,-73.814809,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
42,42,NY,36001013705,6628,2956,8548336,24702,3.301,0.01,42.70203529999999,-73.7863325,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
43,43,NY,36001013706,2124,839,2742331,79375,1.0590000000000002,0.031,42.698792600000004,-73.7648755,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
44,44,NY,36001013707,6061,2653,8138001,41199,3.142,0.016,42.718388899999994,-73.7714882,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
45,45,NY,36001013801,7278,3196,20943021,21909,8.086,0.008,42.7469391,-73.8808746,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
46,46,NY,36001013802,4390,1618,5455747,1645,2.106,0.001,42.7648758,-73.8439681,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
47,47,NY,36001013901,2460,1016,3874084,8227,1.496,0.003,42.716176000000004,-73.8444382,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
48,48,NY,36001013902,5333,2316,4521610,0,1.746,0.0,42.723102600000004,-73.82713340000001,36123150500.0,36123150400.0,36123150300.0,36123150200.0,36123150100.0,36121971100.0
