Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
1,0,0,1,2010,1004135.081,173254.3727,EAST 51 STREET,AVENUE D
1,1,0,0,2014,986366.6559,184764.6742,2 AVENUE,7 STREET
1,1,0,0,2009,1028472.079,176277.7489,90 STREET,164 AVENUE
1,0,0,1,2016,921818.1846,125321.6385,RICHARD AVENUE,BARTOW AVENUE
1,0,0,1,2015,1051170.212,192372.0175,116 AVENUE,194 STREET
1,1,0,0,2011,1020679.706,202130.4655,84 PLACE,FLEET COURT
1,0,0,1,2011,1009940.312,161197.6813,EAST 66 STREET,GAYLORD DRIVE SOUTH
1,0,0,1,2009,963066.6113,161286.1227,COLTON STREET,CLIFTON AVENUE
1,1,0,0,2010,1046536.954,218349.3202,211 STREET,38 AVENUE
1,0,0,1,2009,959939.5801,149270.4318,GRAHAM BOULEVARD,BADEN PLACE
1,0,0,1,2014,1058162.612,200781.1342,220 STREET,97 AVENUE
1,0,0,1,2014,1021344.728,184136.3024,BLAKE AVENUE,LINCOLN AVENUE
1,0,1,0,2015,1005782.164,201740.1645,48 STREET,58 ROAD
1,1,0,0,2010,1043650.683,204480.9559,183 STREET,UNION TURNPIKE
1,1,0,0,2010,1043644.742,204498.7121,183 STREET,UNION TURNPIKE
1,1,0,0,2016,1023881.304,225523.4099,14 AVENUE,110 STREET
1,1,0,0,2014,1023904.152,188156.98,97 AVENUE,83 STREET
1,0,0,1,2013,991649.6834,148683.1167,SURF AVENUE,WEST 5 STREET
1,0,0,1,2013,991603.8501,148694.1633,SURF AVENUE,WEST 5 STREET
1,1,0,0,2015,994506.8099,217073.5026,2 AVENUE,EAST 62 STREET
1,1,0,0,2013,1003705.193,181193.9234,EAST NEW YORK AVENUE,EAST 92 STREET
1,1,0,0,2009,1009588.528,265642.0094,HENRY HUDSON PARKWAY ET 21 SB,HENRY HUDSON PARKWAY WEST
1,1,0,0,2013,1000202.947,155541.9347,EAST 28 STREET,AVENUE X
1,1,0,0,2009,1024862.897,185373.7704,SUTTER AVENUE,83 STREET
1,1,0,0,2013,1032435.083,223169.6223,22 ROAD,WHITESTONE EXPRESSWAY SR EAST
1,0,1,0,2016,942949.7493,145009.6529,TANGLEWOOD DRIVE,TEAKWOOD COURT
1,1,0,0,2015,1007283.912,239634.5933,EAST 160 STREET,PARK AVENUE
1,0,0,1,2013,1035750.729,220429.3587,MURRAY LANE,BAYSIDE AVENUE
1,1,0,0,2009,1009464.145,238411.8418,SOUTH BRONX AREA HOUSES PED PATH,EAGLE AVENUE
1,1,0,0,2009,1009573.581,238758.3375,SOUTH BRONX AREA HOUSES PED PATH,EAGLE AVENUE
1,1,0,0,2015,992936.8655,216749.6843,LEXINGTON AVENUE,EAST 58 STREET
1,1,0,0,2013,992423.8547,174384.0158,TURNER PLACE,CONEY ISLAND AVENUE
1,1,0,0,2010,927536.7391,131852.1898,PARKWOOD AVENUE,UNCAS AVENUE
1,1,0,0,2011,1046036.102,199580.0146,185 STREET,184 PLACE
1,1,0,0,2011,1046086.62,199367.0885,185 STREET,184 PLACE
1,1,0,0,2013,958527.6213,151736.339,LACONIA AVENUE,NAUGHTON AVENUE
1,1,0,0,2010,952284.6942,162870.9355,VICTORY BOULEVARD,BRENTON PLACE
1,0,1,0,2011,996439.7653,198225.1289,BROOKLYN QUEENS EXPRESSWAY,BQE EB EN WILLIAMSBURG BRDG
1,1,0,0,2016,989019.2195,206667.8971,EAST 17 STREET,N D PERLMAN PLACE
1,1,0,0,2014,1032560.824,195966.4687,METROPOLITAN AVENUE,85 AVENUE
1,1,0,0,2011,1021541.614,202299.7729,FITCHETT STREET,64 ROAD
1,1,0,0,2012,983247.9219,198316.0309,FRANKFORT STREET,ROSE STREET
1,1,0,0,2012,983254.3491,198326.5722,FRANKFORT STREET,ROSE STREET
1,1,0,0,2012,983240.1992,198303.3669,FRANKFORT STREET,ROSE STREET
1,1,0,0,2009,998642.7694,213197.4247,11 STREET,43 AVENUE
1,1,0,0,2011,983993.1698,172571.6575,9 AVENUE,49 STREET
1,1,0,0,2015,1012831.1,267992.0671,BROADWAY,HENRY HUDSON PKWY ET 23 N SB
1,1,0,0,2009,1041373.139,204651.2348,176 STREET,75 AVENUE
1,0,1,0,2015,979715.0848,175963.9044,2 AVENUE,49 STREET
1,0,1,0,2015,995069.8369,176121.4106,OCEAN AVENUE,CHURCH AVENUE
1,0,0,1,2009,984940.7762,159389.404,BAY 25 STREET,86 STREET
1,0,0,1,2009,960708.3253,149181.0652,QUINCY AVENUE,CHEROKEE STREET
1,1,0,0,2015,1005372.976,190139.65,RALPH AVENUE,MONROE STREET
1,0,0,1,2013,986242.7388,219219.2923,11 AVENUE,WEST 54 STREET
1,0,1,0,2012,1010661.863,183118.0272,SACKMAN STREET,BELMONT AVENUE
1,1,0,0,2012,1010169.551,223016.9188,32 STREET,20 ROAD
1,1,0,0,2009,1019526.612,241347.5807,GLEASON AVENUE,METCALF AVENUE
1,0,0,1,2012,1025105.803,258551.9058,MSGR CAHILL PLACE,EAST 214 STREET
1,0,0,1,2011,1056757.914,156500.4827,SEAGIRT AVENUE,BEACH 3 STREET
1,1,0,0,2013,1018239.062,172730.5447,BELT PARKWAY EXIT 14 EASTBOUND,BELT PKWY WB EN PENNSYLVANIA AVE
1,1,0,0,2013,1018311.217,172855.6399,BELT PARKWAY EXIT 14 EASTBOUND,BELT PARKWAY
1,1,0,0,2013,1018266.955,172875.0263,BELT PKWY WB EN PENNSYLVANIA AVE,BELT PARKWAY
1,1,0,0,2010,999645.4708,153884.671,AVENUE Z,BEDFORD AVENUE
1,0,0,1,2009,1016070.372,182541.2993,DUMONT AVENUE,JEROME STREET
1,1,0,0,2009,988813.1175,205238.4971,1 AVENUE,EAST 12 STREET
1,1,0,0,2012,992706.8269,229952.3085,BROADWAY,WEST 101 STREET
1,1,0,0,2012,992734.9633,229937.0789,BROADWAY,WEST 101 STREET
1,1,0,0,2012,992678.6705,229967.5775,BROADWAY,WEST 101 STREET
1,0,0,1,2015,1029401.053,193961.893,112 STREET,86 AVENUE
1,1,0,0,2009,1038771.051,223664.6341,160 STREET,20 AVENUE
1,1,0,0,2009,1013063.928,207080.5275,CALAMUS AVENUE,MAURICE AVENUE
1,1,0,0,2009,1058026.458,208589.6518,WINCHESTER BOULEVARD,UNION TURNPIKE
1,1,0,0,2009,1058021.779,208560.3342,WINCHESTER BOULEVARD,UNION TURNPIKE
1,1,0,0,2009,1058030.628,208615.4227,VANDERBILT MOTOR PARKWAY,WINCHESTER BOULEVARD
1,0,0,1,2013,988419.5159,193126.2746,CATHEDRAL PLACE,FLATBUSH AVENUE EXTENSION
1,0,0,1,2013,988443.2593,193125.2145,CATHEDRAL PLACE,FLATBUSH AVENUE EXTENSION
1,1,0,0,2009,1039533.69,228690.6181,POWELLS COVE BOULEVARD,161 STREET
1,0,0,1,2013,995262.8976,153250.4301,AVENUE Z,CONEY ISLAND AVENUE
1,0,0,1,2010,997470.9804,163371.6303,EAST 22 STREET,BAY AVENUE
1,1,0,0,2010,1046638.426,211833.2772,56 AVENUE,203 STREET
1,1,0,0,2011,1002908.436,161087.6159,AVENUE S,EAST 34 STREET
