"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,2000,2001,2002,2003,2004,2005,Percent-Increase-2004-2005,2006,Percent-Increase-2005-2006,2007,Percent-Increase-2006-2007,2009,Percent-Increase-2008-2009,2010,Percent-Increase-2009-2010
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",New York City,36.5,38.7,38.13755796,41.05132017,44.22639549,57.74897962,0.305758223797768,55.31226295,-0.0421949735914659,52.46863001,-0.0514105333670858,58.06881568,0.106733979311689,54.59702913,-0.0597874523415801
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn,47.5,51.9,50.2794317,52.93281736,49.95140245,63.67182829,0.274675487915155,64.74259217,0.0168169174461755,61.3691146,-0.0521060009636619,70.3449478,0.146259779996891,64.11947852,-0.0884991669579432
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 30,3.401360544,13.60544218,10.20408163,0,0,3.389830509,-,17.065,4.0341749992197,3.401360544,-0.800682065983006,3.401360544,0,6.802721088,1
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 32,0,0,0,0,0,0,-,0,-,0,-,,-,,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 34,8.968609866,8.968609866,11.95814649,23.4948605,11.74743025,11.88707281,0.0118870729196284,57.229,3.81438962431997,26.98650675,-0.528446998025477,19.6969697,-0.270117845096791,39.39393939,0.999999999492308
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 36,1.406469761,14.06469761,4.219409283,12.65822785,2.812939522,5.625879044,1,11.252,1.000042999858,15.47116737,0.37497043814433,19.69057665,0.272727272550992,35.16174402,0.785714285823112
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 38,18.51851852,3.703703704,7.407407407,7.407407407,0,0,-,3.663,-,0,-1,,-,,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 40,0,0,0,0,0,0,-,0,-,0,-,,-,,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 42,0,0,0,0,26.14379085,6.535947712,-0.750000000019125,6.494,-0.00641799993641072,12.98701299,0.999848012011087,51.94805195,2.99999999923,12.98701299,-0.749999999951875
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 46,0,0,23.62204724,21.58273381,0,0,-,56.738,-,21.27659574,-0.625002718812789,21.27659574,0,42.55319149,1.00000000047
