CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip,Y,NeighborCount,NeighborPreviousCount,NeighborPreviousThreeCount,NeighborOneYearPercentGrowth,NeighborOnYearGrowth,NeighborThreeYearPercentGrowth,NeighborThreeYearGrowth
18,2001,2,1,0,1,1,1,0,0,0,0,0,0,36047001800,11220,0,102,102,102,0,0,0,0
18,2002,3,1,0,0,1,1,1,1,0,0,0,0,36047001800,11220,0,100,89,100,0.123596,11,0,0
18,2003,0,1,1,0,1,1,1,1,0,0,0,0,36047001800,11220,0,89,91,89,-0.021978,-2,0,0
18,2003,3,1,0,1,1,1,0,0,0,0,0,0,36047001800,11220,0,108,100,108,0.08,8,0,0
18,2003,4,1,1,0,1,1,1,1,0,0,0,0,36047001800,11220,0,93,84,93,0.107143,9,0,0
18,2004,1,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220,0,95,97,102,-0.020619,-2,-0.068627,-7
18,2004,5,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220,0,86,75,92,0.146667,11,-0.065217,-6
18,2005,2,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220,0,97,94,110,0.031915,3,-0.118182,-13
18,2005,4,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220,0,87,102,84,-0.147059,-15,0.035714,3
18,2006,3,1,0,0,1,1,1,1,0,0,0,0,36047001800,11220,0,94,86,108,0.093023,8,-0.12963,-14
18,2007,4,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220,0,89,81,102,0.098765,8,-0.127451,-13
18,2008,5,1,0,0,0,0,1,1,1,1,1,1,36047001800,11220,0,78,76,104,0.026316,2,-0.25,-26
20,2001,0,4,4,4,4,4,0,0,0,0,0,0,36047002000,11220,0,128,128,128,0,0,0,0
20,2001,1,6,4,6,6,6,0,0,0,0,0,0,36047002000,11220,0,151,151,151,0,0,0,0
20,2001,2,1,6,1,1,1,0,0,0,0,0,0,36047002000,11220,1,123,123,123,0,0,0,0
20,2001,3,5,1,5,5,5,0,0,0,0,0,0,36047002000,11220,1,115,115,115,0,0,0,0
20,2001,4,8,5,8,8,8,0,0,0,0,0,0,36047002000,11220,0,98,98,98,0,0,0,0
20,2001,5,7,8,7,7,7,0,0,0,0,0,0,36047002000,11220,0,115,115,115,0,0,0,0
20,2002,0,7,7,4,7,7,0.75,3,0,0,0,0,36047002000,11220,0,114,128,114,-0.109375,-14,0,0
20,2002,1,3,7,6,3,3,-0.5,-3,0,0,0,0,36047002000,11220,1,133,151,133,-0.119205,-18,0,0
20,2002,2,5,3,1,5,5,4,4,0,0,0,0,36047002000,11220,0,148,123,148,0.203252,25,0,0
20,2002,3,2,5,5,2,2,-0.6,-3,0,0,0,0,36047002000,11220,1,132,115,132,0.147826,17,0,0
20,2002,4,3,2,8,3,3,-0.625,-5,0,0,0,0,36047002000,11220,1,102,98,102,0.040816,4,0,0
20,2002,5,6,3,7,6,6,-0.142857,-1,0,0,0,0,36047002000,11220,0,88,115,88,-0.234783,-27,0,0
20,2003,0,5,5,7,5,5,-0.285714,-2,0,0,0,0,36047002000,11220,0,123,114,123,0.078947,9,0,0
20,2003,1,7,5,3,7,7,1.333333,4,0,0,0,0,36047002000,11220,0,123,133,123,-0.075188,-10,0,0
20,2003,2,4,7,5,4,4,-0.2,-1,0,0,0,0,36047002000,11220,1,129,148,129,-0.128378,-19,0,0
