CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2,neighborCount,neighborThreeYearGrowthmavg3,neighborThreeYearGrowth
18,2001,0,0,36047001800,11220,0,16345,2702,1,3382,562,0,0,0,0,0,0,0,0,0,0,0,24,0,0
18,2002,0,0,36047001800,11220,1,16334,2613,1,3329,525,0,0,0,0,0,0,0,0,1,1,1,42,0,0
18,2003,0,1,36047001800,11220,0,16266,2546,3,3277,519,1,0,0,0,0,0,0,0,-1,0,-1,30,0,0
18,2004,0,0,36047001800,11220,0,16081,2606,2,3191,535,0,0,0,0,-1,0,-0.33333,0,0,0,0,18,-0.49998,-1.5
18,2005,0,0,36047001800,11220,0,15892,2615,2,3148,537,0,0,0,0,0,0,-0.33333,0,0,0,0,42,-0.49998,0
18,2006,0,0,36047001800,11220,0,15737,2616,1,3167,529,0,0,0,0,0,-1,-0.33333,-0.33333,0,0,0,24,-0.9,-1.2
18,2007,0,0,36047001800,11220,0,15258,2454,1,3034,446,0,0,0,0,0,0,0,-0.33333,0,0,0,48,2.93334,10.00002
18,2008,0,0,36047001800,11220,0,15731,2796,1,3083,498,0,0,0,0,0,0,0,-0.33333,0,0,0,36,2.64762,-0.85716
18,2009,0,0,36047001800,11220,0,17855,3070,0,3581,616,0,0,0,0,0,0,0,0,0,0,0,36,4.0476,3
18,2010,0,0,36047001800,11220,0,19221,3560,0,3927,721,0,0,0,0,0,0,0,0,0,0,0,24,-0.28572,-3
18,2001,1,0,36047001800,11220,0,16345,2934,1,3382,624,0,0,0,0,0,0,0,0,0,0,0,36,0,0
18,2002,1,0,36047001800,11220,0,16334,2841,1,3329,587,0,0,0,0,0,0,0,0,0,0,0,18,0,0
18,2003,1,0,36047001800,11220,1,16266,2716,3,3277,552,0,1,0,0,0,0,0,0,1,1,1,42,0,0
18,2004,1,1,36047001800,11220,0,16081,2667,2,3191,537,1,0,0,0,0,0,0,0,-1,0,-1,48,0.66666,1.99998
18,2005,1,0,36047001800,11220,0,15892,2676,2,3148,556,0,0,0,0,-1,0,-0.33333,0,0,0,0,36,2.66664,6
18,2006,1,0,36047001800,11220,0,15737,2707,1,3167,571,0,0,0,0,0,0,-0.33333,0,0,0,0,42,2.66664,0
18,2007,1,0,36047001800,11220,0,15258,2639,1,3034,523,0,0,0,0,0,-1,-0.33333,-0.33333,0,0,0,30,1.24998,-2.25
18,2008,1,0,36047001800,11220,0,15731,2630,1,3083,517,0,0,0,0,0,0,0,-0.33333,0,0,0,60,0.58332,4.00002
18,2009,1,0,36047001800,11220,0,17855,3389,0,3581,669,0,0,0,0,0,0,0,-0.33333,0,0,0,36,0.2976,-0.85716
18,2010,1,0,36047001800,11220,0,19221,3318,0,3927,676,0,0,0,0,0,0,0,0,0,0,0,30,1.0476,0
18,2001,2,1,36047001800,11220,0,16345,2877,1,3382,602,1,0,0,0,0,0,0,0,-1,0,-1,6,0,0
18,2002,2,0,36047001800,11220,0,16334,2880,1,3329,599,0,0,0,0,-1,0,-0.5,0,0,0,0,30,0,0
18,2003,2,0,36047001800,11220,0,16266,2821,3,3277,588,0,0,0,0,0,0,-0.33333,0,0,0,0,24,0,0
18,2004,2,0,36047001800,11220,1,16081,2640,2,3191,539,0,1,0,0,0,-1,-0.33333,-0.33333,1,1,1,30,7.99998,24
18,2005,2,1,36047001800,11220,0,15892,2651,2,3148,539,1,0,0,0,0,0,0,-0.33333,-1,0,-1,60,10.00002,6
18,2006,2,0,36047001800,11220,0,15737,2635,1,3167,546,0,0,0,0,-1,0,-0.33333,-0.33333,0,0,0,36,10.99998,3
18,2007,2,0,36047001800,11220,0,15258,2650,1,3034,557,0,0,0,0,0,0,-0.33333,0,0,0,0,48,4.2,3.6
18,2008,2,0,36047001800,11220,0,15731,2627,1,3083,520,0,0,0,0,0,-1,-0.33333,-0.33333,0,0,0,36,1.39998,-2.4
18,2009,2,0,36047001800,11220,0,17855,2998,0,3581,623,0,0,0,0,0,0,0,-0.33333,0,0,0,48,1.06668,1.99998
18,2010,2,0,36047001800,11220,0,19221,3501,0,3927,711,0,0,0,0,0,0,0,-0.33333,0,0,0,36,-0.63336,-1.5
18,2001,3,0,36047001800,11220,1,16345,2697,1,3382,556,0,1,1,1,0,0,0,0,1,1,1,30,0,0
18,2002,3,1,36047001800,11220,1,16334,2857,1,3329,592,1,0,0,0,0,0,0,0,0,0,0,12,0,0
18,2003,3,1,36047001800,11220,0,16266,2826,3,3277,553,1,0,0,0,0,0,0,0,-1,0,-1,48,0,0
18,2004,3,0,36047001800,11220,0,16081,2715,2,3191,544,0,0,0,0,-1,0,-0.33333,0,0,0,0,30,0,0
18,2005,3,0,36047001800,11220,1,15892,2598,2,3148,519,0,1,0,0,0,-1,-0.33333,-0.33333,1,1,1,30,3,9
18,2006,3,1,36047001800,11220,0,15737,2620,1,3167,529,1,0,0,0,0,0,-0.33333,-0.33333,-1,0,-1,54,3.25002,0.75
18,2007,3,0,36047001800,11220,0,15258,2523,1,3034,527,0,0,0,0,-1,0,-0.33333,-0.33333,0,0,0,36,3.64998,1.2
