CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2
18,2001,0,0,36047001800,11220,0,16345,2702,1,3382,562,0,0,0,0,0,0,0,0,0,0,0
18,2002,0,0,36047001800,11220,1,16334,2613,1,3329,525,0,0,0,0,0,0,0,0,1,1,1
18,2003,0,1,36047001800,11220,0,16266,2546,3,3277,519,1,0,0,0,0,0,0,0,-1,0,-1
18,2004,0,0,36047001800,11220,0,16081,2606,2,3191,535,0,0,0,0,-1,0,-0.3333333,0,0,0,0
18,2005,0,0,36047001800,11220,0,15892,2615,2,3148,537,0,0,0,0,0,0,-0.3333333,0,0,0,0
18,2006,0,0,36047001800,11220,0,15737,2616,1,3167,529,0,0,0,0,0,-1,-0.3333333,-0.3333333,0,0,0
18,2007,0,0,36047001800,11220,0,15258,2454,1,3034,446,0,0,0,0,0,0,0,-0.3333333,0,0,0
18,2008,0,0,36047001800,11220,0,15731,2796,1,3083,498,0,0,0,0,0,0,0,-0.3333333,0,0,0
18,2009,0,0,36047001800,11220,0,17855,3070,0,3581,616,0,0,0,0,0,0,0,0,0,0,0
18,2010,0,0,36047001800,11220,0,19221,3560,0,3927,721,0,0,0,0,0,0,0,0,0,0,0
18,2001,1,0,36047001800,11220,0,16345,2934,1,3382,624,0,0,0,0,0,0,0,0,0,0,0
18,2002,1,0,36047001800,11220,0,16334,2841,1,3329,587,0,0,0,0,0,0,0,0,0,0,0
18,2003,1,0,36047001800,11220,1,16266,2716,3,3277,552,0,1,0,0,0,0,0,0,1,1,1
18,2004,1,1,36047001800,11220,0,16081,2667,2,3191,537,1,0,0,0,0,0,0,0,-1,0,-1
18,2005,1,0,36047001800,11220,0,15892,2676,2,3148,556,0,0,0,0,-1,0,-0.3333333,0,0,0,0
18,2006,1,0,36047001800,11220,0,15737,2707,1,3167,571,0,0,0,0,0,0,-0.3333333,0,0,0,0
18,2007,1,0,36047001800,11220,0,15258,2639,1,3034,523,0,0,0,0,0,-1,-0.3333333,-0.3333333,0,0,0
18,2008,1,0,36047001800,11220,0,15731,2630,1,3083,517,0,0,0,0,0,0,0,-0.3333333,0,0,0
